Date,Open,High,Low,Close,Volume
14-07-2020 00:00,9234.19,9240.04,9211.62,9216,97.94
14-07-2020 01:00,9217,9242.75,9202.6,9231.63,81.46
14-07-2020 02:00,9231.74,9241.76,9216.25,9221.36,122.92
14-07-2020 03:00,9217.23,9229.26,9210.86,9214.28,158.87
14-07-2020 04:00,9210.71,9211.62,9142.12,9182.43,463.91
14-07-2020 05:00,9184.99,9193.86,9170.62,9179.33,115.44
14-07-2020 06:00,9179.75,9199.51,9177.76,9189.37,92.26
14-07-2020 07:00,9187.37,9193.41,9175.61,9177.86,99.48
14-07-2020 08:00,9182.64,9208.63,9175.42,9192.8,106.76
14-07-2020 09:00,9192.8,9202.6,9188,9193.65,191.72
14-07-2020 10:00,9197.93,9197.93,9167.76,9184.83,178.01
14-07-2020 11:00,9180.28,9233,9095,9225.23,586.13
14-07-2020 12:00,9230.5,9242.17,9200.4,9205,207.2
14-07-2020 13:00,9205.1,9223.55,9190,9204.81,284.89
14-07-2020 14:00,9199.63,9221.58,9183,9209.22,158.09
14-07-2020 15:00,9216.96,9239.67,9206.07,9222.71,105.36
14-07-2020 16:00,9227.07,9237.22,9205.65,9227.51,175.6
14-07-2020 17:00,9229.88,9273.01,9223.45,9250.62,112.65
14-07-2020 18:00,9247.95,9260.82,9237.5,9250,87.76
14-07-2020 19:00,9252.83,9271.33,9242.45,9270.26,97.9
14-07-2020 20:00,9270.76,9281.41,9258.96,9273.5,696.69
14-07-2020 21:00,9273.5,9282.08,9240.02,9246.32,112.15
14-07-2020 22:00,9246.32,9270.4,9241.08,9256.86,81.52
14-07-2020 23:00,9251.07,9274.72,9249.14,9251.59,65.23
15-07-2020 00:00,9256.33,9276.98,9254.82,9259.5,52.45
15-07-2020 01:00,9259.19,9267.07,9240,9247.61,63.92
15-07-2020 02:00,9248.15,9253.12,9237.29,9241.34,33.85
15-07-2020 03:00,9246.24,9252.97,9229.48,9232.46,52.93
15-07-2020 04:00,9231.97,9246.73,9222,9245.49,77.13
15-07-2020 05:00,9243,9248.46,9235.72,9239.92,68.69
15-07-2020 06:00,9241.01,9243.08,9227,9233.76,51.62
15-07-2020 07:00,9230.01,9237.36,9216.72,9227.85,174.32
15-07-2020 08:00,9227.5,9229.9,9196.99,9210.57,419.92
15-07-2020 09:00,9210.52,9221.97,9185.26,9215.15,567.87
15-07-2020 10:00,9219.84,9247.1,9210.5,9236.46,202.2
15-07-2020 11:00,9236.46,9246.43,9211.65,9213.7,221.19
